event_id,event_type,user_id,product_id,order_id,price,event_time,processing_time
0e47c1a4-2b7a-4cc0-9ef1-0f9a35b16f88,view,user_test,product_test,order_test,123,2026-07-01T15:59:00,2026-07-01T15:59:00
be407610-d5cd-4a4e-a20a-7f5aaedc3e92,refund,user_8,product_5,06bab056-fb87-4a2e-ba0f-9fdca87dfae7,504,2026-07-01T16:03:45.912419,2026-07-01T16:03:45.912449
d758d9cb-4eb0-4334-a9bb-29fb009bd2dd,refund,user_2,product_4,696186da-4d13-4b65-8d69-88eebdfd771a,167,2026-07-01T16:03:47.057386,2026-07-01T16:03:47.057397
04f9bd6b-b83d-4e07-b92b-957642020f4f,refund,user_1,product_1,e68d579d-7043-416e-bf76-493bf3f65046,166,2026-07-01T16:03:48.066413,2026-07-01T16:03:48.066426
bbe3c6da-7724-4497-83e7-c752b4572189,refund,user_10,product_4,62224583-edd6-439c-9121-ae94ec9317b1,941,2026-07-01T16:03:49.076804,2026-07-01T16:03:49.076820
79cbf8d4-4364-4c8b-a1aa-4fbd9e927cd9,view,user_10,product_3,169efd81-7957-46ab-bb3f-a5aba0dbb73f,226,2026-07-01T16:03:50.088326,2026-07-01T16:03:50.088343
f994fcf3-f61f-4dd3-89e4-0729fb0d3463,refund,user_6,product_2,cbd4e573-bf6f-4336-b6d8-0ef511972618,204,2026-07-01T16:03:51.096800,2026-07-01T16:03:51.096820
ed382701-487c-4726-b7b7-c4f6abb3087d,view,user_5,product_5,edcec9ed-6cba-4121-a366-cde7591c3755,360,2026-07-01T16:03:52.107881,2026-07-01T16:03:52.107904
5dfdc2b7-2813-4c21-b7c6-a47c87d8dc42,view,user_1,product_5,61357041-934f-42ef-a377-53db89a10d70,548,2026-07-01T16:03:53.120127,2026-07-01T16:03:53.120236
32c6a32c-beb3-460b-a264-af5f82ff6f94,refund,user_9,product_1,8e6a2e1f-4986-4050-ac79-2e6e861810a7,169,2026-07-01T16:03:54.135438,2026-07-01T16:03:54.135467
5d1bde2f-6847-4e63-8a77-945bed1d915f,purchase,user_6,product_1,f030dbc5-40a0-4fb8-a012-d2f3527225a4,684,2026-07-01T16:03:55.150760,2026-07-01T16:03:55.150785
8f33007e-5b92-4e48-b3de-5efe2ffad1c5,refund,user_4,product_4,bee2cbae-faeb-42be-a14e-4c5c379bb7c8,201,2026-07-01T16:03:56.166136,2026-07-01T16:03:56.166161
abf64dca-3ed0-4364-9705-dd6591abbead,purchase,user_7,product_5,c2b287bc-0640-45ec-b376-57989b1ad21f,258,2026-07-01T16:03:57.178592,2026-07-01T16:03:57.178624
